11,246,98%,0,100%,mcs2x1
11,276,98%,0,100%,mcs2x1
11,215,92%,0,100%,mcs4x1
11,246,98%,0,100%,mcs2x1
11,246,98%,0,100%,mcs2x1
11,246,98%,0,100%,mcs2x1
11,246,98%,0,100%,mcs2x1
11,246,90%,0,100%,mcs4x1
11,199,94%,0,100%,mcs4x1
11,169,96%,0,100%,mcs4x1
11,230,91%,0,100%,mcs4x1
11,307,97%,0,100%,mcs2x1
11,230,91%,0,100%,mcs4x1
11,153,97%,0,100%,mcs4x1
11,184,95%,0,100%,mcs4x1
13,153,97%,0,100%,mcs4x1
13,138,98%,0,100%,mcs4x1
13,138,98%,0,100%,mcs4x1
13,123,98%,0,100%,mcs4x1
13,123,98%,0,100%,mcs4x1
13,123,98%,0,100%,mcs4x1
13,123,98%,0,100%,mcs4x1
13,123,98%,0,100%,mcs4x1
13,123,98%,0,100%,mcs4x1
13,143,92%,0,100%,mcs6x1
13,230,90%,0,100%,mcs4x1
13,246,98%,0,100%,mcs2x1
13,215,93%,0,100%,mcs4x1
13,138,98%,0,100%,mcs4x1
13,123,98%,0,100%,mcs4x1
15,123,98%,0,100%,mcs4x1
15,153,97%,0,100%,mcs4x1
15,123,98%,0,100%,mcs4x1
15,123,98%,0,100%,mcs4x1
15,123,98%,0,100%,mcs4x1
15,123,98%,0,100%,mcs4x1
15,123,98%,0,100%,mcs4x1
15,123,98%,0,100%,mcs4x1
15,153,97%,0,100%,mcs4x1
15,153,97%,0,100%,mcs4x1
15,123,98%,0,100%,mcs4x1
15,123,98%,0,100%,mcs4x1
15,123,98%,0,100%,mcs4x1
15,123,98%,0,100%,mcs4x1
15,123,98%,0,100%,mcs4x1
17,153,97%,0,100%,mcs4x1
17,123,98%,0,100%,mcs4x1
17,123,98%,0,100%,mcs4x1
17,123,98%,0,100%,mcs4x1
17,143,92%,0,100%,mcs6x1
17,123,98%,0,100%,mcs4x1
17,123,98%,0,100%,mcs4x1
17,123,94%,0,100%,mcs6x1
17,92,98%,0,100%,mcs6x1
17,123,98%,0,100%,mcs4x1
17,102,97%,0,100%,mcs6x1
17,123,98%,0,100%,mcs4x1
17,123,98%,0,100%,mcs4x1
17,123,98%,0,100%,mcs4x1
17,123,98%,0,100%,mcs4x1
19,123,98%,0,100%,mcs4x1
19,153,97%,0,100%,mcs4x1
19,153,97%,0,100%,mcs4x1
19,123,98%,0,100%,mcs4x1
19,123,98%,0,100%,mcs4x1
19,123,98%,0,100%,mcs4x1
19,123,98%,0,100%,mcs4x1
19,123,98%,0,100%,mcs4x1
19,123,98%,0,100%,mcs4x1
19,123,98%,0,100%,mcs4x1
19,153,97%,0,100%,mcs4x1
19,123,98%,0,100%,mcs4x1
19,123,98%,0,100%,mcs4x1
19,123,98%,0,100%,mcs4x1
19,123,98%,0,100%,mcs4x1
