10,246,98%,0,100%,mcs2x1,492,90%,0,100%,mcs2x1
10,246,98%,0,100%,mcs2x1,430,92%,0,100%,mcs2x1
10,261,88%,0,100%,mcs4x1,492,90%,0,100%,mcs2x1
10,246,98%,0,100%,mcs2x1,430,92%,0,100%,mcs2x1
10,246,98%,0,100%,mcs2x1,476,69%,0,100%,mcs4x1
10,246,98%,0,100%,mcs2x1,430,92%,0,100%,mcs2x1
10,246,98%,0,100%,mcs2x1,645,82%,0,100%,mcs2x1
10,230,91%,0,100%,mcs4x1,615,84%,0,100%,mcs2x1
10,230,90%,0,100%,mcs4x1,492,90%,0,100%,mcs2x1
10,153,97%,0,100%,mcs4x1,522,88%,0,100%,mcs2x1
10,307,97%,0,100%,mcs2x1,430,92%,0,100%,mcs2x1
10,246,78%,0,100%,mcs6x1,353,79%,0,100%,mcs4x1
10,184,87%,0,100%,mcs6x1,538,64%,0,100%,mcs4x1
10,174,89%,0,100%,mcs6x1,492,90%,0,100%,mcs2x1
10,184,95%,0,100%,mcs4x1,676,81%,0,100%,mcs2x1
12,164,89%,0,100%,mcs6x1,584,85%,0,100%,mcs2x1
12,184,86%,0,100%,mcs6x1,553,87%,0,100%,mcs2x1
12,246,98%,0,100%,mcs2x1,461,70%,0,100%,mcs4x1
12,246,89%,0,100%,mcs4x1,369,64%,0,100%,mcs6x1
12,215,93%,0,100%,mcs4x1,415,74%,0,100%,mcs4x1
12,138,98%,0,100%,mcs4x1,492,90%,0,100%,mcs2x1
12,138,98%,0,100%,mcs4x1,399,93%,0,100%,mcs2x1
12,169,96%,0,100%,mcs4x1,492,53%,0,100%,mcs6x1
12,138,98%,0,100%,mcs4x1,445,72%,0,100%,mcs4x1
12,153,97%,0,100%,mcs4x1,430,73%,0,100%,mcs4x1
12,123,98%,0,100%,mcs4x1,430,92%,0,100%,mcs2x1
12,123,98%,0,100%,mcs4x1,338,96%,0,100%,mcs2x1
12,123,98%,0,100%,mcs4x1,322,82%,0,100%,mcs4x1
12,199,94%,0,100%,mcs4x1,369,78%,0,100%,mcs4x1
12,138,98%,0,100%,mcs4x1,353,80%,0,100%,mcs4x1
14,246,98%,0,100%,mcs2x1,215,92%,0,100%,mcs4x1
14,184,95%,0,100%,mcs4x1,246,89%,0,100%,mcs4x1
14,138,98%,0,100%,mcs4x1,184,95%,0,100%,mcs4x1
14,123,98%,0,100%,mcs4x1,307,84%,0,100%,mcs4x1
14,123,98%,0,100%,mcs4x1,261,87%,0,100%,mcs4x1
14,123,98%,0,100%,mcs4x1,399,93%,0,100%,mcs2x1
14,123,98%,0,100%,mcs4x1,461,91%,0,100%,mcs2x1
14,123,98%,0,100%,mcs4x1,384,77%,0,100%,mcs4x1
14,123,98%,0,100%,mcs4x1,246,90%,0,100%,mcs4x1
14,123,98%,0,100%,mcs4x1,307,97%,0,100%,mcs2x1
14,123,98%,0,100%,mcs4x1,369,95%,0,100%,mcs2x1
14,123,98%,0,100%,mcs4x1,430,72%,0,100%,mcs4x1
14,123,98%,0,100%,mcs4x1,353,80%,0,100%,mcs4x1
14,123,98%,0,100%,mcs4x1,246,98%,0,100%,mcs2x1
14,123,98%,0,100%,mcs4x1,353,80%,0,100%,mcs4x1
16,246,98%,0,100%,mcs2x1,246,98%,0,100%,mcs2x1
16,199,93%,0,100%,mcs4x1,169,96%,0,100%,mcs4x1
16,153,97%,0,100%,mcs4x1,199,93%,0,100%,mcs4x1
16,123,98%,0,100%,mcs4x1,246,98%,0,100%,mcs2x1
16,123,94%,0,100%,mcs6x1,369,78%,0,100%,mcs4x1
16,123,98%,0,100%,mcs4x1,353,80%,0,100%,mcs4x1
16,123,98%,0,100%,mcs4x1,230,91%,0,100%,mcs4x1
16,123,98%,0,100%,mcs4x1,246,98%,0,100%,mcs2x1
16,123,98%,0,100%,mcs4x1,174,88%,0,100%,mcs6x1
16,123,98%,0,100%,mcs4x1,353,79%,0,100%,mcs4x1
16,123,98%,0,100%,mcs4x1,322,82%,0,100%,mcs4x1
16,123,98%,0,100%,mcs4x1,338,96%,0,100%,mcs2x1
16,123,98%,0,100%,mcs4x1,353,79%,0,100%,mcs4x1
16,123,98%,0,100%,mcs4x1,353,79%,0,100%,mcs4x1
16,123,98%,0,100%,mcs4x1,261,88%,0,100%,mcs4x1
18,123,98%,0,100%,mcs4x1,292,85%,0,100%,mcs4x1
18,123,98%,0,100%,mcs4x1,246,98%,0,100%,mcs2x1
18,123,98%,0,100%,mcs4x1,246,89%,0,100%,mcs4x1
18,123,98%,0,100%,mcs4x1,338,81%,0,100%,mcs4x1
18,123,98%,0,100%,mcs4x1,261,88%,0,100%,mcs4x1
18,123,98%,0,100%,mcs4x1,199,94%,0,100%,mcs4x1
