5,654,83%,0,100%,615,84%,1026,94%
5,850,85%,0,100%,830,99%,1173,98%
5,1320,96%,0,100%,849,99%,1703,98%
5,584,85%,0,100%,849,99%,1655,98%
5,900,97%,0,100%,917,96%,1038,99%
5,804,97%,0,100%,671,99%,922,100%
5,690,99%,0,100%,630,100%,964,99%
5,715,98%,0,100%,922,97%,1014,99%
5,688,94%,0,100%,975,95%,987,99%
5,805,99%,0,100%,1102,98%,1184,100%
5,668,96%,0,100%,547,98%,753,100%
5,722,98%,0,100%,688,99%,1034,100%
5,668,98%,0,100%,744,98%,902,100%
5,591,99%,0,100%,582,98%,740,99%
5,541,99%,0,100%,621,97%,759,99%
10,470,99%,0,100%,490,98%,720,99%
10,485,100%,0,100%,489,99%,730,100%
10,468,98%,0,100%,473,98%,714,99%
10,628,97%,0,100%,558,98%,814,99%
10,727,98%,0,100%,647,98%,846,99%
10,1113,98%,0,100%,696,99%,1036,99%
10,632,97%,0,100%,663,98%,834,100%
10,762,97%,0,100%,781,97%,1046,98%
10,514,98%,0,100%,580,98%,851,99%
10,1049,94%,0,100%,960,96%,1103,99%
10,653,99%,0,100%,788,97%,848,98%
10,620,97%,0,100%,653,98%,852,99%
10,517,98%,0,100%,581,98%,768,99%
10,610,99%,0,100%,738,94%,774,100%
10,2548,92%,0,100%,2897,98%,2831,98%
20,820,97%,0,100%,783,98%,974,98%
20,1012,74%,0,100%,1006,97%,1237,96%
20,756,98%,0,100%,686,99%,958,100%
20,831,97%,0,100%,1372,83%,1060,95%
20,469,74%,0,100%,1057,90%,931,98%
20,337,83%,0,100%,498,94%,741,97%
20,528,98%,0,100%,561,99%,658,99%
20,721,98%,0,100%,880,74%,1032,98%
20,775,98%,0,100%,762,99%,938,99%
20,653,98%,0,100%,801,98%,983,98%
20,715,96%,0,100%,753,98%,923,99%
20,766,98%,0,100%,747,98%,906,99%
20,896,97%,0,100%,905,97%,1001,99%
20,960,98%,0,100%,1320,97%,2051,98%
20,721,96%,0,100%,681,98%,945,97%
30,440,99%,0,100%,442,98%,655,100%
30,484,100%,0,100%,484,99%,678,98%
30,457,100%,0,100%,466,98%,679,99%
30,457,100%,0,100%,462,98%,679,100%
30,606,99%,0,100%,825,94%,896,100%
30,1584,53%,0,100%,1332,89%,1793,93%
30,483,98%,0,100%,555,98%,858,98%
30,573,99%,0,100%,704,96%,939,96%
30,482,100%,0,100%,478,99%,712,100%
30,608,97%,0,100%,633,98%,1056,96%
30,1637,90%,0,100%,1316,98%,1601,98%
30,771,96%,0,100%,777,94%,954,99%
30,823,96%,0,100%,892,97%,1079,99%
30,1328,98%,0,100%,907,97%,2228,97%
30,655,85%,0,100%,731,57%,1620,88%
40,785,97%,0,100%,919,98%,1010,98%
40,705,97%,0,100%,731,98%,1034,99%
40,2165,92%,0,100%,1109,98%,1620,98%
40,707,80%,0,100%,972,87%,2674,98%
40,1178,98%,0,100%,963,98%,1225,98%
40,793,93%,0,100%,723,98%,968,99%
40,903,92%,0,100%,721,98%,965,98%
40,836,96%,0,100%,821,97%,901,99%
40,943,98%,0,100%,683,98%,983,99%
40,571,64%,0,100%,553,87%,1176,91%
40,1030,97%,0,100%,944,96%,1293,98%
40,635,98%,0,100%,609,98%,867,98%
40,727,94%,0,100%,629,98%,836,99%
40,690,95%,0,100%,615,83%,1126,93%
40,444,98%,0,100%,466,99%,791,97%
