120,1868,91%,0,100%,2116,85%,mcs2x1
120,4142,83%,0,100%,5998,64%,mcs2x1
120,7841,9%,0,100%,4159,0%,mcs2x1
120,16629,58%,0,100%,10276,69%,mcs2x1
120,799,75%,0,100%,3362,0%,mcs2x1
120,1812,81%,0,100%,1973,58%,mcs2x1
130,14009,7%,0,100%,23077,10%,mcs4x1
130,65535,0%,0,100%,13546,4%,mcs4x1
130,65535,0%,0,100%,16057,88%,mcs2x1
130,1107,63%,0,100%,2953,64%,mcs2x1
130,65535,0%,0,100%,33372,25%,mcs4x1
130,3437,72%,0,100%,3210,58%,mcs2x1
130,7841,3%,0,100%,65535,0%,mcs2x1
130,65535,0%,0,100%,3107,0%,mcs4x1
130,16176,12%,0,100%,13355,5%,mcs2x1
130,1014,67%,0,100%,65535,0%,mcs2x1
130,65535,0%,0,100%,10152,3%,mcs4x1
130,768,76%,0,100%,65535,0%,mcs2x1
130,65535,0%,0,100%,4398,0%,mcs4x1
130,65535,0%,0,100%,0,100%,mcs2x1
130,65535,0%,0,100%,0,100%,mcs2x1
140,4478,0%,0,100%,4494,1%,mcs4x1
140,65535,0%,0,100%,65535,0%,mcs2x1
140,4662,87%,0,100%,4195,88%,mcs2x1
140,1067,96%,0,100%,1096,98%,mcs2x1
140,2318,67%,0,100%,984,68%,mcs2x1
140,1339,94%,0,100%,1230,95%,mcs2x1
140,5131,1%,0,100%,3920,2%,mcs4x1
140,65535,0%,0,100%,65535,0%,mcs4x1
140,65535,0%,0,100%,65535,0%,mcs2x1
140,65535,0%,0,100%,1168,61%,mcs2x1
140,4759,77%,0,100%,3290,81%,mcs2x1
140,4590,0%,0,100%,5355,1%,mcs4x1
140,2379,93%,0,100%,2600,94%,mcs2x1
140,39684,28%,0,100%,7841,47%,mcs4x1
140,65535,0%,0,100%,65535,0%,mcs2x1
